CaseName;Val 1;Val 2;Val 3;Val A;Val B;Val C;Val X;Val Y;Val Z;Val I1;Val I2;Val I3
Case 30;0,037922;;0,990869;16,790302;0,800485;;0,797383;0,002264;0,003891;1,0;1,0;2,0
Case 31;0,04181;0,002509;0,987478;15,995454;0,780153;16,037264;0,777645;0,002607;0,003226;;0,8587696298664709;2,293129753784311
Case 32;0,049243;0,002508;0,99214;15,520218;0,689846;15,470975;0,687337;0,003183;0,00365;;1,008704706823817;1,9401985299068265
Case 33;0,100344;0;0,987755;16,218439;0,722457;16,318783;0,722457;0,006149;0;1,0;1,0;2,0
Case 34;0,164436;0,003684;0,987852;16,91312;0,880573;17,077557;0,876888;0,009629;0,004202;0,9765412866624852;0,8584629257949585;
Case 35;0,204693;0,003684;0,988755;16,91926;0,814253;17,123953;0,810569;0,011954;0,004545;1,154993440501754;0,9216746707663764;
Case 36;0,233313;0,003743;0,987888;18,947495;0,943208;19,180807;0,939465;0,012164;0,003984;;0,9433702270397228;3,029895409526292
Case 37;0,426075;0,044915;0,988078;19,90008;1,029294;19,474005;0,984379;0,021879;0,045627;1,7607586751838658;1,08125258223942;3,4068720085712467
Case 38;0,157827;0;0,986491;18,770329;0,976894;18,928156;0,976894;0,008338;0;2,0;1,0;3,0
Case 39;0,148472;0,00524;0,988657;16,850954;0,943208;16,702482;0,937968;0,008889;0,005587;1,0;1,0;2,0
Case 40;0,288208;0;0,988006;18,42688;0,843647;18,715088;0,843647;0,0154;0;;1,058685709380027;2,438091125161996
Case 41;0,033964;0;0,990927;17,424458;0,890807;17,458422;0,890807;0,001945;0;0,9973486124550784;1,0060230209941026;2,4926484224970573
Case 42;0,153585;0,027924;0,981401;16,555588;0,741535;16,402002;0,713611;0,009364;0,039131;2,0;2,0;2,0
Case 43;0,15979;0;0,99053;16,072598;0,698098;16,232388;0,698098;0,009844;0;1,938157524829757;1,0331263431403563;2,195109025424472
Case 44;0,123591;0,003103;0,989523;15,857476;0,685687;15,981068;0,682584;0,007734;0,004545;2,051976558849685;1,0781822871777311;1,7526098578243836
Case 45;0,041437;0,017941;0,98666;17,374504;0,738162;17,415941;0,720221;0,002379;0,024911;2,065750221931937;0,947023979623296;2,102653486622671
Case 46;0,133282;0,002563;0,99104;16,03314;0,720221;16,166422;0,717658;0,008244;0,003572;;1,0067528204687923;
Case 47;0,12602;0,002563;0,991224;18,301497;0,750978;18,427517;0,748415;0,006839;0,003425;2,0;1,0;2,0
Case 48;0,141827;0,020505;0,983931;18,219479;0,738162;18,077652;0,717658;0,007845;0,028571;;1,6024862170798215;1,9560656224324977
Case 49;0,011961;0,002563;0,99328;16,685453;0,704843;16,673492;0,70228;0,000717;0,00365;2,0;1,0;2,0
Case 50;0,002848;0,030757;0,985576;14,858949;0,776608;14,856101;0,745852;0,000192;0,041237;2,0;1,0;3,0
Case 51;0,072621;0;0,987657;13,819938;0,70228;13,747316;0,70228;0,005283;0;2,0;1,0;3,0
Case 52;0,099202;0,002563;0,990621;13,76298;0,750978;13,663777;0,748415;0,00726;0,003425;2,0;1,0;3,0
Case 53;0,119137;0,002563;0,988863;14,212949;0,72791;14,332086;0,725347;0,008313;0,003534;2,0;1,0;3,0
Case 54;0,045329;0,002563;0,995003;14,382636;0,738162;14,337307;0,735599;0,003162;0,003484;;;
Case 55;0,118663;0;0,991934;14,102592;0,717658;14,221255;0,717658;0,008344;0;1,0;1,0;3,0
Case 56;0,23642;0;0,988742;18,735571;0,96163;18,971991;0,96163;0,012462;0;;0,9197722730778382;1,967742857666798
Case 57;0,130798;0,003684;0,986564;18,174915;0,980052;18,305714;0,976367;0,007145;0,003774;1,034361828956846;0,8236959844637266;2,064816793878959
Case 58;0,135712;0,003684;0,989989;19,267977;0,980052;19,403688;0,976367;0,006994;0,003774;1,0;1,0;2,0
Case 59;0,107464;0;0,990836;18,709984;1,031633;18,60252;1,031633;0,005777;0;1,0;1,0;2,0
Case 60;0,235397;0;0,9917;19,609612;1,009527;19,845009;1,009527;0,011862;0;1,0;1,0;2,0
Case 61;0,024784;0,002124;0,992541;13,085416;0,61181;13,060632;0,609686;0,001898;0,003484;1,0;1,0;3,0
Case 62;0,011409;0;0,993708;15,195244;0,573572;15,206653;0,573572;0,00075;0;1,0;1,0;3,0
Case 63;0,052716;0,002124;0,991302;13,156229;0,526837;13,103513;0,524712;0,004023;0,004049;1,0791031947043046;0,909061254520526;3,4208382932808297
Case 64;0,066977;0,002124;0,992851;;0,54808;13,901435;0,545956;;0,003891;1,0;1,0;3,0
Case 66;0,061994;0,002105;0,989978;11,907882;0,560029;11,845888;0,557924;0,005233;0,003774;0,9927989878419666;;3,10849080751429
Case 67;0,083632;0;0,985514;13,885218;0,576872;13,801586;0,576872;0,00606;0;0,8679543386915723;1,0521941565616897;3,0890954019699564
Case 68;0,080123;0;0,987183;14,681767;0,568451;14,761889;0,568451;0,005428;0;;0,8769135683566045;
Case 69;0,047372;0,002105;0,989038;13,122005;0,543186;13,074633;0,541081;0,003623;0,003891;0,9437712470759028;0,8987168879665576;3,0942741997785825
Case 70;0,156582;0;0,992115;18,864527;1,01058;18,707945;1,01058;0,00837;0;2,0808101713629075;1,188618590121053;3,052373343849552
Case 71;0,076731;0,003743;0,992374;21,297451;0,995608;21,22072;0,991865;0,003616;0,003774;1,8560311583210585;;3,317136667865675
Case 72;0,008734;0;0,992636;20,827709;0,976894;20,836443;0,976894;0,000419;0;1,0;1,0;4,0
Case 73;0,132252;0,003743;0,99206;20,260651;1,01058;20,128399;1,006837;0,00657;0,003718;0,9614917719583684;0,9323077999694042;4,244670515536347
Case 74;0,089207;0,003743;0,991306;17,183935;0,842149;17,094728;0,838407;0,005218;0,004464;1,0250492850345876;1,0346448209496977;
Case 75;0,015594;0,003743;0,991452;17,765965;0,808464;17,75037;0,804721;0,000879;0,004651;1,0;1,0;3,0
Case 76;0,070249;0;0,991802;13,540368;0,60232;13,470119;0,60232;0,005215;0;1,0;1,0;3,0
Case 77;0,036548;0;0,989828;12,748651;0,60232;12,785198;0,60232;0,002859;0;1,0357112571511746;1,1477894044741517;
Case 78;0,019936;0;0,993376;14,703263;0,60232;14,683328;0,60232;0,001358;0;1,0;1,0;3,0
Case 80;0,131952;0,002563;0,991675;15,141841;0,681775;15,273793;0,679212;0,008639;0,003774;0,9398293387770604;1,1852278184508938;2,99595083257862
Case 81;0,099202;0;0,99132;15,786891;0,66896;15,886093;0,66896;0,006245;0;0,8942289071044099;1,082254491210319;2,633746905008693
Case 82;0,121613;0;0,988608;15,246197;0,616127;15,367809;0,616127;0,007913;0;1,0196861235869124;1,0738466579995412;3,0514104843569907
Case 83;0,044606;0,002536;0,990732;;0,616127;;0,613592;0,003131;0,004132;1,0;1,0;3,0
Case 84;0,082641;0;0,989704;14,393969;0,616127;14,476609;0,616127;0,005709;0;1,0;1,0;3,0
Case 86;0,05217;0,002087;0,992631;13,695101;0,56342;13,642931;0,561334;0,003824;0,003718;1,0;1,0;3,0
Case 87;0,122116;0;;14,49542;0,56342;14,617537;;0,008354;0;1,0;1,0;3,0
Case 88;0,138281;0;0,986477;14,140558;0,65299;14,278839;0,65299;0,009684;0;1,0;1,0;4,0
Case 89;0,086776;0;0,989938;14,837005;0,69229;14,750229;0,69229;0,005883;0;1,065655360863383;0,9025318329772678;
Case 90;0,196506;0,002509;0,991939;13,519392;0,599539;13,715898;0,59703;0,014327;0,004202;1,009707754934804;1,096864499053289;1,8595893812245292
Case 91;0,004181;0;0,992287;14,472652;0,589505;14,468472;0,589505;0,000289;0;0,9672337853402232;0,9607891846867842;
Case 92;0,028337;0,002509;0,992719;13,624846;0,622116;13,596508;0,619607;0,002084;0,004049;1,0;1,0;2,0
Case 93;0,09099;0,002563;0,989357;14,690495;0,72791;14,781486;0,725347;0,006156;0,003534;1,0;1,0;2,0
Case 94;0,188816;0;0,991266;15,654226;0,70228;15,843042;0,70228;0,011918;0;1,0;1,0;2,0
Case 95;0,032466;0;0,991658;14,46665;0,692027;14,499116;0,692027;0,002239;0;1,0;1,0;2,0
Case 96;0,150866;0;0,990285;16,905388;0,775864;17,056253;0,775864;0,008845;0;1,0;1,0;3,0
Case 97;0,182981;0;0,987293;17,511387;0,775864;17,694368;0,775864;0,010341;0;0,9455617275474816;1,0110922589709863;2,654701926773309
Case 98;0,130583;0,002536;0,990196;18,016806;0,788542;18,147388;0,786006;0,007196;0,003226;1,0;1,0;3,0
Case 99;0,004974;0,002985;0,994114;17,796185;0,874556;17,79121;0,871571;0,00028;0,003425;2,0;1,0;3,0
Case 100;1,069588;0;0,963536;16,657364;0,817845;17,726952;0,817845;0,060337;0;2,0;2,0;3,0
Case 101;0,137762;0,003743;0,989709;15,225535;1,010579;15,363297;1,014322;0,008967;0,00369;2,0;1,0;4,0
Case 102;0,058224;0,003743;0,990502;14,123961;1,029294;14,065738;1,025551;0,004139;0,00365;2,0;1,0;4,0
Case 103;0,102411;0,003743;0,993871;18,152843;1,010579;18,050432;1,006837;0,005674;0,003718;2,0;1,0;3,0
Case 104;0,122166;0,003743;0,990879;18,095659;1,010579;17,973494;1,006837;0,006797;0,003718;1,787539257254779;1,047359243063518;2,724172729729859
Case 105;0,062983;0,003628;0,994304;16,655603;0,772705;16,592621;0,769077;0,003796;0,004717;1,0;1,0;3,0
Case 106;0,037285;0;0,992401;16,71002;0,816237;16,672735;0,816237;0,002236;0;1,0;1,0;3,0
Case 107;0,233589;0,003743;0,986529;13,321477;0,658748;13,555066;0,655005;0,017233;0,005714;1,0;1,0;2,0
Case 108;0,052679;0;0,986621;13,031744;0,67372;13,084423;0,67372;0,004026;0;1,103099952249595;1,0931280119116198;1,8321564953554723
Case 109;0,137935;0;0,985162;13,367918;0,67372;13,505853;0,67372;0,010213;0;1,0;1,0;2,0
Case 110;0,181429;0;0,990798;17,639748;0,909522;17,821177;0,909522;0,010181;0;1,0;1,0;2,0
Case 111;0,164436;0,003684;0,987852;16,91312;0,880573;17,077557;0,876888;0,009629;0,004202;1,0;1,0;3,0
Case 112;0,273611;0;0,986497;17,208195;0,817886;17,481806;0,817886;0,015651;0;2,0;1,0;2,0
Case 113;0,041437;0,017941;0,98666;17,374504;0,738162;17,415941;0,720221;0,002379;0,024911;2,0;1,0;2,0
Case 114;0,102411;0,003743;0,993871;18,152843;1,010579;18,050432;1,006837;0,005674;0,003718;2,0;1,0;3,0
